task,response,choices,domain,response_type,id,sequence,rt,enc_task,enc_response,gender,education,guessed,task_opinion1,effort_finding_answer,like_syllog,strategy,strategy_description,quantifier_most,tired,attentive,certain,serious_participation,study_comment,similar_experiments,session
All;teachers;golfers/Some not;teachers;bankers,Some not;golfers;bankers,All;golfers;bankers|All;bankers;golfers|No;golfers;bankers|No;bankers;golfers|Some;golfers;bankers|Some;bankers;golfers|Some not;golfers;bankers|Some not;bankers;golfers|Most;golfers;bankers|Most;bankers;golfers|Most not;golfers;bankers|Most not;bankers;golfers|NVC,syllogistic-generalized,single-choice,participant_0,0,188444.0,AO4,Oac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Some;pilots;tailors/No;singers;tailors,No;singers;pilots,All;pilots;singers|All;singers;pilots|No;pilots;singers|No;singers;pilots|Some;pilots;singers|Some;singers;pilots|Some not;pilots;singers|Some not;singers;pilots|Most;pilots;singers|Most;singers;pilots|Most not;pilots;singers|Most not;singers;pilots|NVC,syllogistic-generalized,single-choice,participant_0,1,18894.0,IE3,Eca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Some;drivers;hikers/No;hikers;writers,No;writers;drivers,All;drivers;writers|All;writers;drivers|No;drivers;writers|No;writers;drivers|Some;drivers;writers|Some;writers;drivers|Some not;drivers;writers|Some not;writers;drivers|Most;drivers;writers|Most;writers;drivers|Most not;drivers;writers|Most not;writers;drivers|NVC,syllogistic-generalized,single-choice,participant_0,2,825073.0,IE1,Eca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
All;drillers;actors/Most not;nurses;drillers,Most not;nurses;actors,All;actors;nurses|All;nurses;actors|No;actors;nurses|No;nurses;actors|Some;actors;nurses|Some;nurses;actors|Some not;actors;nurses|Some not;nurses;actors|Most;actors;nurses|Most;nurses;actors|Most not;actors;nurses|Most not;nurses;actors|NVC,syllogistic-generalized,single-choice,participant_0,3,77077.0,AD2,Dca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Some;farmers;scholars/Some not;assistants;scholars,NVC,All;farmers;assistants|All;assistants;farmers|No;farmers;assistants|No;assistants;farmers|Some;farmers;assistants|Some;assistants;farmers|Some not;farmers;assistants|Some not;assistants;farmers|Most;farmers;assistants|Most;assistants;farmers|Most not;farmers;assistants|Most not;assistants;farmers|NVC,syllogistic-generalized,single-choice,participant_0,4,230481.0,IO3,NVC,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Most;actuaries;boxers/Most not;opticians;actuaries,NVC,All;boxers;opticians|All;opticians;boxers|No;boxers;opticians|No;opticians;boxers|Some;boxers;opticians|Some;opticians;boxers|Some not;boxers;opticians|Some not;opticians;boxers|Most;boxers;opticians|Most;opticians;boxers|Most not;boxers;opticians|Most not;opticians;boxers|NVC,syllogistic-generalized,single-choice,participant_0,5,49514.0,TD2,NVC,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
No;clerks;managers/Some not;models;managers,Some;models;clerks,All;clerks;models|All;models;clerks|No;clerks;models|No;models;clerks|Some;clerks;models|Some;models;clerks|Some not;clerks;models|Some not;models;clerks|Most;clerks;models|Most;models;clerks|Most not;clerks;models|Most not;models;clerks|NVC,syllogistic-generalized,single-choice,participant_0,6,280354.0,EO3,Ica,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
Most not;runners;chefs/Most;chefs;scientists,Most not;runners;scientists,All;runners;scientists|All;scientists;runners|No;runners;scientists|No;scientists;runners|Some;runners;scientists|Some;scientists;runners|Some not;runners;scientists|Some not;scientists;runners|Most;runners;scientists|Most;scientists;runners|Most not;runners;scientists|Most not;scientists;runners|NVC,syllogistic-generalized,single-choice,participant_0,7,96281.0,DT1,Dac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
All;scientists;chefs/Most not;runners;chefs,Most not;runners;scientists,All;scientists;runners|All;runners;scientists|No;scientists;runners|No;runners;scientists|Some;scientists;runners|Some;runners;scientists|Some not;scientists;runners|Some not;runners;scientists|Most;scientists;runners|Most;runners;scientists|Most not;scientists;runners|Most not;runners;scientists|NVC,syllogistic-generalized,single-choice,participant_0,8,121539.0,AD3,Dca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
All;linguists;divers/Most;carpenters;divers,Most;linguists;carpenters,All;linguists;carpenters|All;carpenters;linguists|No;linguists;carpenters|No;carpenters;linguists|Some;linguists;carpenters|Some;carpenters;linguists|Some not;linguists;carpenters|Some not;carpenters;linguists|Most;linguists;carpenters|Most;carpenters;linguists|Most not;linguists;carpenters|Most not;carpenters;linguists|NVC,syllogistic-generalized,single-choice,participant_0,9,45777.0,AT3,Tac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1
